Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
60000,1.4191175,0.00027312853,-25.362505,0.25,205.2,0.625
61000,1.4190303,0.0002700269,-24.653273,0.3333333333333333,215.22222222222223,2.8333333333333335
62000,1.4190602,0.000269527,-25.54594,0.25,189.9,0.625
63000,1.4191219,0.00026922455,-19.375137,0.3333333333333333,233.88888888888889,2.5
64000,1.4191216,0.00026892486,-21.758543,0.25,178.1,0.75
65000,1.4191215,0.0002686256,-17.024778,0.2857142857142857,291.7142857142857,-0.5
66000,1.4191216,0.00026833056,-21.855095,0.3333333333333333,257.0,2.75
67000,1.4191219,0.00026804017,-22.452507,0.3333333333333333,208.33333333333334,2.75
68000,1.4191213,0.000267722,-20.142342,0.1875,196.125,-1.5
69000,1.4191216,0.0002674218,-21.583797,0.25,203.9,0.25
70000,1.4191215,0.0002671311,-20.838877,0.3,219.8,0.5
71000,1.4191217,0.00026683626,-21.966854,0.3333333333333333,232.77777777777777,2.6666666666666665
72000,1.4191145,0.0002665275,-14.313545,0.3333333333333333,235.0,2.0
73000,1.419011,0.00026622147,-14.378187,-0.16666666666666666,359.6666666666667,-0.125
74000,1.4190106,0.0002659242,-18.35882,0.15,197.5,-0.6
75000,1.419011,0.0002656334,-17.037039,0.2857142857142857,144.35714285714286,0.0
76000,1.4190109,0.00026532143,-20.37595,0.3,217.3,-1.25
77000,1.4190109,0.00026502306,-17.394102,0.18181818181818182,168.45454545454547,-0.9
78000,1.4190114,0.00026474448,-19.574179,0.125,207.0,2.1666666666666665
79000,1.4190108,0.00026441758,-18.18449,0.2692307692307692,150.23076923076923,-0.7857142857142857
80000,1.4190114,0.00026413708,-18.228752,0.3076923076923077,171.84615384615384,1.0
81000,1.4186518,0.00025489763,-17.99202,0.20833333333333334,145.08333333333334,-1.25
82000,1.4186262,0.00025396576,-19.373652,0.25,214.3,0.75
83000,1.4185541,0.0002536654,-18.485348,0.3333333333333333,203.44444444444446,2.0
84000,1.4185369,0.0002533615,-16.373436,0.3333333333333333,183.0,2.3333333333333335
85000,1.4185369,0.00025306558,-19.104652,0.36363636363636365,225.8181818181818,2.3333333333333335
86000,1.4185369,0.0002527717,-16.848608,0.3,196.2,0.5
87000,1.4185369,0.0002524754,-19.724285,0.3,184.5,2.375
88000,1.4185368,0.00025215934,-19.140572,0.18181818181818182,172.27272727272728,-0.4
89000,1.4185368,0.0002518635,-16.834158,0.2222222222222222,229.77777777777777,0.625
90000,1.4185368,0.00025156024,-15.440571,0.0,212.5,-1.25
91000,1.4185369,0.00025126932,-17.925415,0.2,195.0,-0.4
92000,1.4185369,0.00025097144,-19.925674,0.4,143.6,1.3333333333333333
93000,1.4185873,0.00025065587,-17.305122,0.22727272727272727,167.54545454545453,-0.5
94000,1.4186295,0.00025036355,-16.18018,0.2692307692307692,145.6153846153846,1.1
95000,1.4186295,0.00025007327,-17.90659,0.3333333333333333,216.77777777777777,2.1666666666666665
96000,1.4186296,0.00024976616,-13.756629,0.16666666666666666,167.41666666666666,-0.4
97000,1.4186296,0.00024945926,-12.704767,0.21428571428571427,148.71428571428572,-0.5714285714285714
98000,1.4186296,0.00024915335,-16.30059,0.038461538461538464,151.15384615384616,-1.4166666666666667
99000,1.4186296,0.00024886683,-15.704761,0.4166666666666667,182.5,-0.8
100000,1.4186296,0.00024857747,-16.209902,0.3,181.9,2.25
101000,1.4185514,0.00024345888,-19.366995,-0.05555555555555555,195.44444444444446,-1.125
102000,1.4185402,0.00024247308,-13.099534,0.39285714285714285,151.71428571428572,-1.0714285714285714
103000,1.4185512,0.00024217756,-16.678244,0.2916666666666667,176.58333333333334,0.75
